,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
10888,tt3741834,movie,Lion,2016,118,"Biography,Drama",8.0,236479
10889,tt3742284,movie,NH 10,2015,115,"Action,Crime,Drama",7.2,13339
10890,tt3742378,movie,The Second Mother,2015,112,"Comedy,Drama",7.7,15291
10894,tt3748172,movie,Gerald's Game,2017,103,"Drama,Horror,Thriller",6.5,110616
10895,tt3748440,movie,Blue Mountain State: The Rise of Thadland,2016,90,"Comedy,Sport",5.7,15900
10896,tt3748528,movie,Rogue One: A Star Wars Story,2016,133,"Action,Adventure,Sci-Fi",7.8,631169
10898,tt3750872,movie,The Wife,2017,99,Drama,7.2,40164
10899,tt3754940,movie,Truman,2015,108,"Comedy,Drama",7.3,13108
10900,tt3756788,movie,Our Little Sister,2015,127,"Drama,Family",7.5,15074
10901,tt3758172,movie,Jungle,2017,115,"Action,Adventure,Biography",6.7,57547
10902,tt3758814,movie,The Ice Road,2021,109,"Action,Adventure,Thriller",5.6,41115
10903,tt3759416,movie,Asterix and Obelix: Mansion of the Gods,2014,85,"Adventure,Animation,Comedy",6.9,13927
10904,tt3760922,movie,My Big Fat Greek Wedding 2,2016,94,"Comedy,Romance",6.0,31409
10905,tt3766354,movie,The Equalizer 2,2018,121,"Action,Crime,Thriller",6.7,160020
10907,tt3766394,movie,"Hello, My Name Is Doris",2015,90,"Comedy,Drama,Romance",6.6,21614
10908,tt3767372,movie,Piku,2015,123,"Comedy,Drama",7.6,32038
10910,tt3771536,movie,Shivaay,2016,153,"Action,Adventure,Crime",6.1,10701
10911,tt3774114,movie,Snowden,2016,134,"Biography,Crime,Drama",7.3,152693
10912,tt3774466,movie,Ashby,2015,100,"Comedy,Crime,Drama",6.4,15754
10913,tt3774694,movie,Love,2015,135,"Drama,Romance",6.0,59333
10914,tt3774790,movie,400 Days,2015,91,"Mystery,Sci-Fi,Thriller",4.4,11226
10915,tt3775086,movie,They Call Me Jeeg,2015,112,"Action,Comedy,Drama",7.0,15305
10916,tt3778644,movie,Solo: A Star Wars Story,2018,135,"Action,Adventure,Sci-Fi",6.9,345338
10917,tt3780500,movie,Journey's End,2017,107,"Drama,War",6.7,10190
10918,tt3783958,movie,La La Land,2016,128,"Comedy,Drama,Music",8.0,582917
10919,tt3787590,movie,We Are Your Friends,2015,96,"Drama,Music,Romance",6.1,38953
